productmanufacturer,Hazardous Material Code (Y/N),Item-Level GTIN,vendor_partno,Brand AAIAID,ACES Applications,Item Quantity Size,Item Quantity Size UOM,package_type,Quantity per Application,Minimum Order Quantity,Product Group Code,Product Sub-Group Code,Product Category Code,Part Terminology ID,Application Summary - 2000,Product Description - Long - 80,Product Description - Short - 20,Product Description - Invoice - 40,Invoice Cost,WD Core,vendor_price,productprice,Non-Stock Dealer,User,listprice,Jobber Core,Price Break Quantity,Country of Origin (Primary),Harmonized Tariff Code (Schedule B),Life Cycle Status Code,MSDS Sheet Available Y/N,National Popularity Code,Part Number - Old,Part Number Superseded To,Taxable,MSDS Sheet Number,Each Package Level GTIN,Each Package Bar Code Characters,Each Package UOM,height,width,length,productweight,metatag_title,metatag_description,autodropship,freeshippingitem,productkeywords,categoryids,producturl,photourl,donotallowbackorders,availability,hide_when_outofstock
T-Rex,N,6.10E+11,55028,DJTM,Y,1,EA,BX,1,1,,,,1384,,2010-2013 Camaro SS  Upper Class STAINLESS POLISHED BUMPER,MESH BUMPER,T-Rex 55028,,,335.56,,,,406.74,,,US,8708100000,4,N,A,,,,,6.10E+11,6.10E+11,EA,6,8,55,5,T-Rex 55028 MESH BUMPER,2010-2013 Camaro SS  Upper Class STAINLESS POLISHED BUMPER T-Rex 55028,Y,Y,MESH BUMPER,,,,N,Item In Stock,N
T-Rex,N,6.10E+11,55029,DJTM,Y,1,EA,BX,1,1,,,,1384,,2010-2013 Camaro SS  Upper Class STAINLESS POLISHED BUMPER,MESH BUMPER,T-Rex 55029,,,335.56,,,,406.74,,,US,8708100000,4,N,D,,,,,6.10E+11,6.10E+11,EA,6,8,55,5,T-Rex 55029 MESH BUMPER,2010-2013 Camaro SS  Upper Class STAINLESS POLISHED BUMPER T-Rex 55029,Y,Y,MESH BUMPER,,,,N,Item In Stock,N
T-Rex,N,6.10E+11,54026,DJTM,Y,1,EA,BX,1,1,,,,1384,,2010-2013 Camaro SS  Upper Class STAINLESS POLISHED Grille,GRILLE ACCENT,T-Rex 54026,,,81.18,,,,98.4,,,US,8708100000,4,N,B,,,,,6.10E+11,6.10E+11,EA,6,10,27,2,T-Rex 54026 GRILLE ACCENT,2010-2013 Camaro SS  Upper Class STAINLESS POLISHED Grille T-Rex 54026,Y,Y,GRILLE ACCENT,,,,N,Item In Stock,N
T-Rex,N,6.10E+11,52028,DJTM,Y,1,EA,BX,1,1,,,,1384,,2010-2013 Camaro SS  Upper Class STEEL BLACK BUMPER,BLK MESH BUMPER,T-Rex 52028,,,319.32,,,,387.05,,,US,8708100000,4,N,C,,,,,6.10E+11,6.10E+11,EA,7,7,43,5,T-Rex 52028 BLK MESH BUMPER,2010-2013 Camaro SS  Upper Class STEEL BLACK BUMPER T-Rex 52028,Y,Y,BLK MESH BUMPER,,,,N,Item In Stock,N
T-Rex,N,6.10E+11,52029,DJTM,Y,1,EA,BX,1,1,,,,14720,,2010-2013 Camaro SS  Upper Class STEEL BLACK BUMPER,BLK MESH BUMPER,T-Rex 52029,,,319.32,,,,387.05,,,US,8708100000,4,N,D,,,,,6.10E+11,6.10E+11,EA,6,8,55,5,T-Rex 52029 BLK MESH BUMPER,2010-2013 Camaro SS  Upper Class STEEL BLACK BUMPER T-Rex 52029,Y,Y,BLK MESH BUMPER,,,,N,Item In Stock,N
T-Rex,N,6.10E+11,51026,DJTM,Y,1,EA,BX,1,1,,,,14720,,2010-2013 Camaro SS  Upper Class STEEL BLACK Grille,BLK GRILLE ACCENT,T-Rex 51026,,,70.36,,,,85.28,,,US,8708100000,4,N,A,,,,,6.10E+11,6.10E+11,EA,6,10,27,2,T-Rex 51026 BLK GRILLE ACCENT,2010-2013 Camaro SS  Upper Class STEEL BLACK Grille T-Rex 51026,Y,Y,BLK GRILLE ACCENT,,,,N,Item In Stock,N
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, ,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, ,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, ,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, ,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, ,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, ,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, ,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, ,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, ,,,,,,,,,,
